ingredient_name,rating,benefits,categories,info
Alcohol,Average,[],"[""Emollient"", ""Cleansing Agent"", ""Irritant""]",[]
Alcloxa,Average,[],"[""Irritant"", ""Exfoliant"", ""Cleansing Agent""]","[""Combination of sodium salt of aluminum + allantoin"", ""Used for wound healing and burn treatment"", ""Has antimicrobial properties"", ""Can be an astringent"", ""Also known as aluminum chlorohydroxy allantoinate""]"
Albumen,Average,[],"[""Film-Forming Agent""]","[""Another name for egg white"", ""Used as food and as a food additive"", ""Has skin tightening properties that can cause irritation"", ""Extracted peptides could have anti-aging benefits""]"
Acid,Average,[],"[""Exfoliant"", ""pH Adjuster/Stabilizer""]",[]
Acetyl Tributyl Citrate,Average,[],"[""Film-Forming Agent""]",[]
Acacia Farnesiana Extract,Average,[],"[""Fragrance: Synthetic and Natural"", ""Plant Extracts"", ""Antioxidant"", ""Irritant""]","[""Also known as \u201csweet acacia\u201dFlowers + oil are highly fragrant and potentially irritating"", ""Has astringent capabilities"", ""Pods have anti-inflammatory and antioxidant properties""]"
Sorbitan Palmitate,Good,[],"[""Emulsifier"", ""Cleansing Agent""]","[""Primarily used in skin care as an emulsifier"", ""Considered a nonionic surfactant (mild cleansing agent)Capable of improving spreadability and dispersing ingredients"", ""May be plant- or animal-derived or synthetic""]"
Ziziphus Jujuba Fruit Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Zingiber Aromaticus Extract,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Has antioxidant properties"", ""Name can be synonymous with Zingiber zerumbet"", ""Also called fragrant ginger"", ""Source of antioxidant compound zerumbone""]"
Zinc Sulfate,Good,[],"[""Preservative""]","[""Created through the reaction of sulfuric acid and zinc oxide"", ""Has stabilizing and preservative properties"", ""Conflicting research surrounds its anti-acne capabilities"", ""Ruled safe as used in cosmetics""]"
Zinc Stearate,Good,[],"[""Texture Enhancer"", ""Coloring Agent/Pigment""]",[]
Zinc Pyrithione,Good,[],"[""Preservative""]","[""Cosmetic preservative that is effective against many pathogens"", ""Most popular in anti-dandruff shampoos"", ""May be suitable for \u201cfungal acne\u201dComes in the form of white to slightly yellow crystals as a raw material""]"
