ingredient_name,rating,benefits,categories,functional_group,info,source
Alcohol,Average,[],['Emollient' 'Cleansing Agent' 'Irritant'],['Support' 'Utility' 'Risks'],[],Paula's Choice
Alcloxa,Average,[],['Irritant' 'Exfoliant' 'Cleansing Agent'],['Actives' 'Utility' 'Risks'],"['Combination of sodium salt of aluminum + allantoin'
 'Used for wound healing and burn treatment'
 'Has antimicrobial properties' 'Can be an astringent'
 'Also known as aluminum chlorohydroxy allantoinate']",Paula's Choice
Albumen,Average,[],['Film-Forming Agent'],['Sensory'],"['Another name for egg white' 'Used as food and as a food additive'
 'Has skin tightening properties that can cause irritation'
 'Extracted peptides could have anti-aging benefits']",Paula's Choice
Acid,Average,[],['Exfoliant' 'pH Adjuster/Stabilizer'],['Actives' 'Utility'],[],Paula's Choice
Acetyl Tributyl Citrate,Average,[],['Film-Forming Agent'],['Sensory'],[],Paula's Choice
Acacia Farnesiana Extract,Average,[],"['Fragrance: Synthetic and Natural' 'Plant Extracts' 'Antioxidant'
 'Irritant']",['Actives' 'Support' 'Sensory' 'Risks'],"['Also known as “sweet acacia”Flowers + oil are highly fragrant and potentially irritating'
 'Has astringent capabilities'
 'Pods have anti-inflammatory and antioxidant properties']",Paula's Choice
Sorbitan Palmitate,Good,[],['Emulsifier' 'Cleansing Agent'],['Utility'],"['Primarily used in skin care as an emulsifier'
 'Considered a nonionic surfactant (mild cleansing agent)Capable of improving spreadability and dispersing ingredients'
 'May be plant- or animal-derived or synthetic']",Paula's Choice
Ziziphus Jujuba Fruit Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Zingiber Aromaticus Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Has antioxidant properties'
 'Name can be synonymous with Zingiber zerumbet'
 'Also called fragrant ginger' 'Source of antioxidant compound zerumbone']",Paula's Choice
Zinc Sulfate,Good,[],['Preservative'],['Utility'],"['Created through the reaction of sulfuric acid and zinc oxide'
 'Has stabilizing and preservative properties'
 'Conflicting research surrounds its anti-acne capabilities'
 'Ruled safe as used in cosmetics']",Paula's Choice
Zinc Stearate,Good,[],['Texture Enhancer' 'Coloring Agent/Pigment'],['Sensory'],[],Paula's Choice
Zinc Pyrithione,Good,[],['Preservative'],['Utility'],"['Cosmetic preservative that is effective against many pathogens'
 'Most popular in anti-dandruff shampoos'
 'May be suitable for “fungal acne”Comes in the form of white to slightly yellow crystals as a raw material']",Paula's Choice
Zinc Gluconate,Good,['Hydration'],['Humectant' 'Preservative'],['Support' 'Utility'],[],Paula's Choice
Zea Mays Corn Starch,Good,['Oil Control'],['Absorbent' 'Film-Forming Agent' 'Texture Enhancer'],['Sensory'],['Starch obtained from corn that can be formulated to serve different roles\xa0Most famously used as an absorbent that tempers shine on oily skin\xa0Also functions as a viscosity increasing ingredient and film-forming agent\xa0OTC monographed as a skin protectant when formulated under particular conditions\xa0Can also be used as an abrasive agent (not recommended in this capacity for the safety of skin)'],Paula's Choice
Zanthoxylum Bungeanum Fruit Extract,Good,['Anti-Aging' 'Soothing'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Fruit from a plant also called prickly ash'
 'Major component of Sichuanese cuisine'
 'Has natural analgesic properties'
 'Component of an ingredient blend called Zanthalene ®']",Paula's Choice
Yeast,Good,['Anti-Aging' 'Hydration' 'Soothing'],['Antioxidant' 'Humectant'],['Actives' 'Support'],[],Paula's Choice
Xymenynic Acid,Good,['Hydration'],['Humectant'],['Support'],['A synthetic fatty acid' 'Functions as a skin-softening agent'],Paula's Choice
Xylose,Good,['Hydration' 'Soothing'],['Humectant'],['Support'],[],Paula's Choice
Xylitylglucoside,Good,['Hydration' 'Soothing'],['Humectant'],['Support'],[],Paula's Choice
Ximenia Americana Oil,Good,['Anti-Aging' 'Hydration'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Xanthan Gum,Good,[],['Texture Enhancer' 'Cleansing Agent' 'Emulsifier'],['Utility' 'Sensory'],"['Is a polysaccharide, which is a type of carbohydrate'
 'Used as an aqueous thickening agent, texture enhancer, and emulsion stabilizer'
 'Is named for the bacteria Xanthomonas campestris'
 'Can also be used as a food additive, especially in sauces and salad dressings']",Paula's Choice
White Willow,Good,['Soothing'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],"['Plant extract with proven skin-soothing, antioxidant benefits'
 'Contains beneficial compounds of salicin, polyphenols, and flavonoids'
 'Also goes by the name willow bark'
 'Often touted as a natural alternative to salicylic acid, however research shows the exfoliation association is questionable']",Paula's Choice
Whey Protein,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
Wheat Protein,Good,['Hydration'],['Humectant' 'Film-Forming Agent'],['Support' 'Sensory'],[],Paula's Choice
Wheat Germ Oil,Good,['Hydration' 'Anti-Aging'],['Emollient' 'Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Wheat Germ Glycerides,Good,['Hydration' 'Anti-Aging'],['Emollient' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Wheat Amino Acids,Good,['Hydration' 'Anti-Aging'],['Humectant' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Watercress Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Water,Good,['Hydration'],['Solvent'],['Utility'],"['The most widely used cosmetic ingredient'
 'Typically appears as the first ingredient in skin care products'
 'Only a 10% concentration is needed in skin’s outer layers for softness and pliability'
 'Studies show dry skin and oily skin do not have a significant difference in moisture levels']",Paula's Choice
Walnut Oil,Good,['Hydration'],['Emollient' 'Plant Extracts'],['Support'],[],Paula's Choice
VP/VA Copolymer,Good,[],['Film-Forming Agent' 'Polymer' 'Suspending/Dispersing Agent'],['Sensory'],"['A polymer, or large molecule, used in skin and hair care'
 'Film-forming agent that can hinder moisture loss'
 'Often used in hair care to keep hair in place'
 'CIR Expert Panel deemed safe for use']",Paula's Choice
VP/Hexadecene Copolymer,Good,[],['Polymer' 'Film-Forming Agent'],['Sensory'],[],Paula's Choice
VP/Eicosene Copolymer,Good,[],['Film-Forming Agent' 'Polymer'],['Sensory'],"['Film-forming agent often used in water-resistant sunscreens to improve adherence to skin'
 'Also works as a viscosity-increasing agent to enhance texture'
 'Sometimes included in lipstick formulations to add luster/shine'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
Vitis Vinifera Fruit Water,Good,['Hydration'],['Plant Extracts'],['Support'],"['Aqueous solution obtained from grapes'
 'Recognized as a skin-conditioning agent'
 'May be used to partially or completely replace the water content in skin care formulations'
 'Seed extract and oil forms of Vitis vinifera have more research backing their benefits for skin']",Paula's Choice
