web_scraper_order,web_scraper_start_url,ingredient_link,ingredient_link-href,ingredient_name,rating,benefits,categories,INFO_GLANCE
"1766113077-1","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-alcohol.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Alcohol","Rating: Average","","Categories: Emollient, Cleansing Agent, Irritant",""
"1766113083-2","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-alcloxa.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Alcloxa","Rating: Average","","Categories: Irritant, Exfoliant, Cleansing Agent","Combination of sodium salt of aluminum + allantoinUsed for wound healing and burn treatmentHas antimicrobial propertiesCan be an astringentAlso known as aluminum chlorohydroxy allantoinate"
"1766113088-3","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-albumen.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Albumen","Rating: Average","","Categories: Film-Forming Agent","Another name for egg whiteUsed as food and as a food additiveHas skin tightening properties that can cause irritationExtracted peptides could have anti-aging benefits"
"1766113093-4","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-acid.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Acid","Rating: Average","","Categories: Exfoliant, pH Adjuster/Stabilizer",""
"1766113099-5","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-acetyl-tributyl-citrate.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Acetyl Tributyl Citrate","Rating: Average","","Categories: Film-Forming Agent",""
"1766113104-6","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-acacia-farnesiana-extract.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Acacia Farnesiana Extract","Rating: Average","","Categories: Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant, Irritant","Also known as “sweet acacia”Flowers + oil are highly fragrant and potentially irritatingHas astringent capabilitiesPods have anti-inflammatory and antioxidant properties"
"1766113109-7","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-sorbitan-palmitate.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Sorbitan Palmitate","Rating: Good","","Categories: Emulsifier, Cleansing Agent","Primarily used in skin care as an emulsifierConsidered a nonionic surfactant (mild cleansing agent)Capable of improving spreadability and dispersing ingredientsMay be plant- or animal-derived or synthetic"
"1766113115-8","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zizyphus-jujuba-fruit-extract.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Ziziphus Jujuba Fruit Extract","Rating: Good","Benefits: Anti-Aging","Categories: Plant Extracts, Antioxidant",""
"1766113120-9","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zingiber-aromaticus-extract.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Zingiber Aromaticus Extract","Rating: Good","Benefits: Anti-Aging","Categories: Antioxidant, Plant Extracts","Has antioxidant propertiesName can be synonymous with Zingiber zerumbetAlso called fragrant gingerSource of antioxidant compound zerumbone"
"1766113126-10","https://www.paulaschoice.com/ingredient-dictionary?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600","Read More","https://www.paulaschoice.com/ingredient-dictionary/ingredient-zinc-sulfate.html?crefn1=ingredientRating&crefv1=Best%7CGood%7CAverage%7CBad%7CWorst&sz=2600&fdid=ingredients","Zinc Sulfate","Rating: Good","","Categories: Preservative","Created through the reaction of sulfuric acid and zinc oxideHas stabilizing and preservative propertiesConflicting research surrounds its anti-acne capabilitiesRuled safe as used in cosmetics"
